windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
0,1770659158.405029,1770659163.405029,332.0,292.3042168674699,429.81769575411005,3.0,3.0,4.0,4.0,274.0,56.0
1,1770659163.405029,1770659168.405029,153.0,285.29411764705884,383.244388882482,2.0,2.0,2.0,2.0,153.0,0.0
2,1770659168.405029,1770659173.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
3,1770659173.405029,1770659178.405029,54.0,60.833333333333336,5.354419793101276,3.0,3.0,2.0,2.0,2.0,52.0
4,1770659178.405029,1770659183.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
5,1770659183.405029,1770659188.405029,3.0,112.0,39.83716857408418,2.0,2.0,2.0,2.0,3.0,0.0
6,1770659188.405029,1770659193.405029,60.0,76.9,95.70092892239954,2.0,2.0,2.0,2.0,5.0,50.0
7,1770659193.405029,1770659198.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1770659198.405029,1770659203.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
9,1770659203.405029,1770659208.405029,54.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,54.0
10,1770659208.405029,1770659213.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
11,1770659213.405029,1770659218.405029,281.0,337.47330960854094,449.70353746274594,3.0,3.0,4.0,4.0,281.0,0.0
12,1770659218.405029,1770659223.405029,73.0,92.79452054794521,151.55783264557877,3.0,3.0,4.0,4.0,13.0,60.0
13,1770659223.405029,1770659228.405029,8.0,278.5,494.7775835088501,2.0,2.0,2.0,2.0,8.0,0.0
14,1770659228.405029,1770659233.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
15,1770659233.405029,1770659238.405029,55.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0
16,1770659238.405029,1770659243.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
17,1770659243.405029,1770659248.405029,432.0,444.162037037037,549.2341781970465,3.0,3.0,4.0,4.0,432.0,0.0
18,1770659248.405029,1770659253.405029,65.0,75.6,91.99860732641554,2.0,2.0,2.0,2.0,5.0,58.0
19,1770659253.405029,1770659258.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1770659258.405029,1770659263.405029,13.0,222.0,267.63065345110726,3.0,3.0,4.0,4.0,13.0,0.0
21,1770659263.405029,1770659268.405029,54.0,60.833333333333336,5.354419793101276,3.0,3.0,2.0,2.0,2.0,52.0
22,1770659268.405029,1770659273.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
23,1770659273.405029,1770659278.405029,4.0,100.5,39.83716857408418,2.0,2.0,2.0,2.0,4.0,0.0
24,1770659278.405029,1770659283.405029,26.0,99.0,143.9377643288932,2.0,2.0,2.0,2.0,5.0,21.0
25,1770659283.405029,1770659288.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1770659288.405029,1770659293.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
27,1770659293.405029,1770659298.405029,461.0,257.14967462039044,364.76927392665743,3.0,3.0,4.0,4.0,450.0,11.0
28,1770659298.405029,1770659303.405029,61.0,485.37704918032784,611.8047118684858,3.0,3.0,4.0,4.0,59.0,0.0
29,1770659303.405029,1770659308.405029,4.0,100.5,39.83716857408418,2.0,2.0,2.0,2.0,4.0,0.0
30,1770659308.405029,1770659313.405029,60.0,102.2,181.96105003218014,3.0,3.0,4.0,4.0,12.0,48.0
31,1770659313.405029,1770659318.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1770659318.405029,1770659323.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
33,1770659323.405029,1770659328.405029,50.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,50.0
34,1770659328.405029,1770659333.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
35,1770659333.405029,1770659338.405029,57.0,493.94736842105266,605.0129402704844,3.0,3.0,4.0,4.0,57.0,0.0
36,1770659338.405029,1770659343.405029,649.0,349.5100154083205,495.25915741295347,3.0,3.0,4.0,4.0,589.0,60.0
37,1770659343.405029,1770659348.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1770659348.405029,1770659353.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
39,1770659353.405029,1770659358.405029,58.0,60.775862068965516,5.16752037128629,3.0,3.0,2.0,2.0,2.0,56.0
40,1770659358.405029,1770659363.405029,17.0,190.2941176470588,240.81340408755344,3.0,3.0,4.0,4.0,15.0,0.0
41,1770659363.405029,1770659368.405029,4.0,100.5,39.83716857408418,2.0,2.0,2.0,2.0,4.0,0.0
42,1770659368.405029,1770659373.405029,63.0,76.0952380952381,93.42734183719976,2.0,2.0,2.0,2.0,5.0,58.0
43,1770659373.405029,1770659378.405029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1770659378.405029,1770659383.405029,5.0,262.8,296.5884353780504,2.0,2.0,2.0,2.0,5.0,0.0
45,1770659383.405029,1770659388.405029,329.0,191.5744680851064,298.0207699911768,3.0,3.0,4.0,4.0,272.0,57.0
46,1770659388.405029,1770659393.405029,318.0,145.78616352201257,88.39874992192294,3.0,3.0,4.0,4.0,318.0,0.0
