windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
0,1770807429.809892,1770807434.809892,8,210.25,243.37258326630442,3,3,4,4,8,0,idle
1,1770807434.809892,1770807439.809892,58,60.775862068965516,5.16752037128629,3,3,2,2,2,54,idle
2,1770807439.809892,1770807444.809892,5,269.2,302.11868528775244,2,2,2,2,5,0,idle
4,1770807449.809892,1770807454.809892,53,79.73584905660377,104.0785854984655,2,2,2,2,5,48,idle
5,1770807454.809892,1770807459.809892,1,135.0,,1,1,1,1,1,0,idle
6,1770807459.809892,1770807464.809892,7,221.0,260.8128319951557,3,3,4,4,7,0,idle
7,1770807464.809892,1770807469.809892,48,60.0,0.0,2,2,0,0,0,48,idle
8,1770807469.809892,1770807474.809892,5,269.2,302.11868528775244,2,2,2,2,5,0,idle
10,1770807479.809892,1770807484.809892,57,78.35087719298245,100.42152074915982,2,2,2,2,5,52,idle
11,1770807484.809892,1770807489.809892,1,135.0,,1,1,1,1,1,0,idle
12,1770807489.809892,1770807494.809892,148,295.11486486486484,420.38203427777336,3,3,4,4,148,0,idle
13,1770807494.809892,1770807499.809892,426,136.20892018779344,68.96785962620194,7,7,4,4,331,63,alexa_wakeWord
14,1770807499.809892,1770807504.809892,5,269.2,302.11868528775244,2,2,2,2,5,0,idle
16,1770807509.809892,1770807514.809892,43,84.32558139534883,115.31338685145765,2,2,2,2,5,38,idle
17,1770807514.809892,1770807519.809892,1,135.0,,1,1,1,1,1,0,idle
18,1770807519.809892,1770807524.809892,7,221.0,260.8128319951557,3,3,4,4,7,0,idle
19,1770807524.809892,1770807529.809892,58,60.775862068965516,5.16752037128629,3,3,2,2,2,56,idle
20,1770807529.809892,1770807534.809892,5,269.2,302.11868528775244,2,2,2,2,5,0,idle
22,1770807539.809892,1770807544.809892,34,99.70588235294117,131.60375084729404,2,2,2,2,8,26,idle
23,1770807544.809892,1770807549.809892,1,135.0,,1,1,1,1,1,0,idle
24,1770807549.809892,1770807554.809892,223,311.72645739910314,432.2854637096774,3,3,4,4,223,0,alexa_shortResponse
25,1770807554.809892,1770807559.809892,66,95.83333333333333,126.1141831020095,3,3,2,2,16,48,idle
26,1770807559.809892,1770807564.809892,5,269.2,302.11868528775244,2,2,2,2,5,0,idle
28,1770807569.809892,1770807574.809892,53,79.73584905660377,104.0785854984655,2,2,2,2,5,48,idle
30,1770807579.809892,1770807584.809892,9,194.22222222222223,232.6766951038381,3,3,4,4,9,0,idle
31,1770807584.809892,1770807589.809892,48,60.0,0.0,2,2,0,0,0,48,idle
