frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770907200.811530000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907200.814579000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907200.850883000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907200.851928000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907200.892615000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907200.893581000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907200.933071000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907200.934364000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907200.973529000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907200.974579000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.013886000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.014961000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.055492000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.056494000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.097975000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.099048000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.139633000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.154798000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.177114000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.178161000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.218771000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.235947000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.260228000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.261229000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.300159000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.316301000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.340942000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.341890000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.380748000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907201.392152000,192.168.0.35,192.168.0.187,64,0x0018,1294,6,738,55022,55443,,
1770907201.392152000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907201.411044000,192.168.0.187,192.168.0.35,64,0x0018,966,6,216,55443,55022,,
1770907201.411946000,192.168.0.35,192.168.0.187,64,0x0010,1323,6,66,55022,55443,,
1770907201.412167000,192.168.0.187,192.168.0.35,64,0x0018,912,6,736,48180,55443,,
1770907201.414686000,192.168.0.35,192.168.0.187,64,0x0018,865,6,216,55443,48180,,
1770907201.417490000,192.168.0.187,192.168.0.35,64,0x0018,966,6,160,55443,55022,,
1770907201.417490000,192.168.0.187,192.168.0.35,64,0x0010,935,6,66,48180,55443,,
1770907201.418584000,192.168.0.35,192.168.0.187,64,0x0010,1323,6,66,55022,55443,,
1770907201.418764000,192.168.0.35,192.168.0.187,64,0x0018,865,6,160,55443,48180,,
