frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770657730.514356000,192.168.0.35,192.168.0.187,64,0x0018,1954,6,778,44622,55443,,
1770657730.533256000,192.168.0.187,192.168.0.35,64,0x0018,2560,6,216,55443,44622,,
1770657730.534288000,192.168.0.35,192.168.0.187,64,0x0010,1954,6,66,44622,55443,,
1770657730.538980000,192.168.0.187,192.168.0.35,64,0x0018,2560,6,187,55443,44622,,
1770657730.539901000,192.168.0.35,192.168.0.187,64,0x0010,1954,6,66,44622,55443,,
1770657734.885777000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657734.916833000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657734.926582000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657734.928142000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657734.974793000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657734.976515000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.015049000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.018260000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.036221000,192.168.0.35,16.170.177.121,64,0x0018,728,6,99,54373,443,,
1770657735.055731000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.056699000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.085237000,16.170.177.121,192.168.0.35,116,0x0010,474,6,66,443,54373,,
1770657735.096263000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.097289000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.136495000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.137570000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.177003000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.192933000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.217860000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.236976000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.259718000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.260717000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.300250000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.556356000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.561597000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.562553000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.601979000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.603003000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.642662000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.643794000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.683970000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.685013000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.725852000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.726924000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.764858000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.765881000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.805266000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.806373000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.846098000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.847124000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.888432000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.889518000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.929613000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.930938000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657735.970170000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657735.971203000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657736.011028000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657736.012141000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657736.052285000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657736.053314000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657740.040489000,,,,,,,60,,,,
1770657740.041278000,,,,,,,60,,,,
1770657740.514496000,192.168.0.35,192.168.0.187,64,0x0018,1954,6,778,44622,55443,,
1770657740.598143000,192.168.0.187,192.168.0.35,64,0x0018,2582,6,216,55443,44622,,
1770657740.599216000,192.168.0.35,192.168.0.187,64,0x0010,1954,6,66,44622,55443,,
1770657740.602516000,192.168.0.187,192.168.0.35,64,0x0018,2582,6,187,55443,44622,,
1770657740.603425000,192.168.0.35,192.168.0.187,64,0x0010,1954,6,66,44622,55443,,
1770657743.572576000,51.49.17.250,192.168.0.35,246,0x0018,3638,6,135,443,45737,,
1770657743.577034000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,135,45737,443,,
1770657743.611171000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770657748.886524000,,,,,,,60,,,,
1770657748.892622000,,,,,,,60,,,,
1770657749.884172000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657749.885701000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657749.924131000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657749.927023000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657749.964939000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657749.966038000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657750.005271000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657750.006409000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657750.046328000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657750.116983000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657750.121841000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657750.122921000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657750.162501000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657750.163597000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657750.204157000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657750.205391000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
