windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
0,1770657730.514356,1770657735.514356,28.0,97.78571428571429,138.462552001898,3.0,3.0,4.0,4.0,7.0,21.0
1,1770657735.514356,1770657740.514356,29.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,27.0
2,1770657740.514356,1770657745.514356,8.0,206.125,238.0056646984929,3.0,3.0,4.0,4.0,8.0,0.0
3,1770657745.514356,1770657750.514356,32.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,30.0
4,1770657750.514356,1770657755.514356,31.0,92.6774193548387,132.03014481467835,2.0,2.0,2.0,2.0,5.0,26.0
5,1770657755.514356,1770657760.514356,7.0,244.85714285714286,358.53285696545237,2.0,2.0,2.0,2.0,7.0,0.0
6,1770657760.514356,1770657765.514356,37.0,87.37837837837837,121.14347585298077,2.0,2.0,2.0,2.0,5.0,32.0
7,1770657765.514356,1770657770.514356,24.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0
8,1770657770.514356,1770657775.514356,8.0,206.125,238.0056646984929,3.0,3.0,4.0,4.0,8.0,0.0
9,1770657775.514356,1770657780.514356,36.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,34.0
10,1770657780.514356,1770657785.514356,31.0,93.06451612903226,131.93961636139235,2.0,2.0,3.0,3.0,7.0,24.0
11,1770657785.514356,1770657790.514356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1770657790.514356,1770657795.514356,33.0,90.6969696969697,128.0826112437996,2.0,2.0,2.0,2.0,5.0,28.0
13,1770657795.514356,1770657800.514356,28.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,28.0
14,1770657800.514356,1770657805.514356,8.0,206.125,238.0056646984929,3.0,3.0,4.0,4.0,8.0,0.0
15,1770657805.514356,1770657810.514356,33.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,29.0
16,1770657810.514356,1770657815.514356,34.0,89.79411764705883,126.23685756059366,2.0,2.0,2.0,2.0,5.0,29.0
17,1770657815.514356,1770657820.514356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1770657820.514356,1770657825.514356,37.0,88.5945945945946,121.03315878520863,3.0,3.0,4.0,4.0,7.0,30.0
19,1770657825.514356,1770657830.514356,29.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,29.0
20,1770657830.514356,1770657835.514356,9.0,191.88888888888889,226.69331951142962,3.0,3.0,4.0,4.0,9.0,0.0
21,1770657835.514356,1770657840.514356,27.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,25.0
22,1770657840.514356,1770657845.514356,32.0,91.65625,130.0115650873091,2.0,2.0,2.0,2.0,5.0,27.0
23,1770657845.514356,1770657850.514356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1770657850.514356,1770657855.514356,36.0,88.13888888888889,122.77229859209812,2.0,2.0,2.0,2.0,5.0,31.0
25,1770657855.514356,1770657860.514356,28.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,28.0
26,1770657860.514356,1770657865.514356,8.0,206.125,238.0056646984929,3.0,3.0,4.0,4.0,8.0,0.0
27,1770657865.514356,1770657870.514356,30.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,28.0
28,1770657870.514356,1770657875.514356,29.0,94.93103448275862,136.36556201058627,2.0,2.0,2.0,2.0,5.0,24.0
29,1770657875.514356,1770657880.514356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1770657880.514356,1770657885.514356,35.0,88.94285714285714,124.46850366000766,2.0,2.0,2.0,2.0,5.0,30.0
31,1770657885.514356,1770657890.514356,26.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,26.0
32,1770657890.514356,1770657895.514356,8.0,206.125,238.0056646984929,3.0,3.0,4.0,4.0,8.0,0.0
33,1770657895.514356,1770657900.514356,66.0,132.04545454545453,169.57861184243015,5.0,5.0,5.0,5.0,30.0,34.0
