frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770807429.809892000,3.33.143.68,192.168.0.35,244,0x0018,2444,6,135,443,58475,,
1770807429.811677000,192.168.0.35,3.33.143.68,64,0x0018,2608,6,135,58475,443,,
1770807429.846562000,3.33.143.68,192.168.0.35,244,0x0010,2444,6,66,443,58475,,
1770807430.074810000,192.168.0.35,192.168.0.187,64,0x0018,2608,6,794,60856,55443,,
1770807430.091920000,192.168.0.187,192.168.0.35,64,0x0018,2621,6,217,55443,60856,,
1770807430.093061000,192.168.0.35,192.168.0.187,64,0x0010,2608,6,66,60856,55443,,
1770807430.097169000,192.168.0.187,192.168.0.35,64,0x0018,2621,6,203,55443,60856,,
1770807430.141038000,192.168.0.35,192.168.0.187,64,0x0010,2608,6,66,60856,55443,,
1770807435.241843000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.243412000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.283098000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.318811000,192.168.0.35,13.50.181.158,64,0x0018,728,6,99,40006,443,,
1770807435.320380000,,,,,,,60,,,,
1770807435.323943000,,,,,,,60,,,,
1770807435.324075000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.329331000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.330296000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.364839000,13.50.181.158,192.168.0.35,116,0x0010,473,6,66,443,40006,,
1770807435.370089000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.371049000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.411297000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.416327000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.451903000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.455835000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.492987000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.495706000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.534318000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.680381000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.686595000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.687804000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.728202000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.729273000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.768360000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.769446000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.809616000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.812414000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.849573000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770807435.850938000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770807435.890857000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
