windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
0,1773568361.864639,1773568366.864639,22,128.8181818181818,72.57418953741741,3,3,3,3,0,0,22,0,idle
4,1773568365.864639,1773568370.864639,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
5,1773568366.864639,1773568371.864639,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
6,1773568367.864639,1773568372.864639,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
7,1773568368.864639,1773568373.864639,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
8,1773568369.864639,1773568374.864639,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
11,1773568372.864639,1773568377.864639,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
12,1773568373.864639,1773568378.864639,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
13,1773568374.864639,1773568379.864639,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
14,1773568375.864639,1773568380.864639,9,94.0,85.6314778571525,5,5,5,5,0,0,9,0,idle
15,1773568376.864639,1773568381.864639,12,96.0,74.74319671077399,5,5,5,5,0,0,12,0,idle
16,1773568377.864639,1773568382.864639,8,118.0,84.70115533028883,2,3,2,2,1,1,6,2,idle
17,1773568378.864639,1773568383.864639,11,104.9090909090909,74.32826453705823,2,3,2,2,1,1,6,5,idle
18,1773568379.864639,1773568384.864639,14,97.42857142857143,66.863482370613,2,3,2,2,1,1,6,8,idle
19,1773568380.864639,1773568385.864639,11,78.72727272727273,22.09113355665983,2,3,2,2,1,1,3,8,idle
20,1773568381.864639,1773568386.864639,24,230.16666666666666,400.4983489806567,4,4,3,3,1,1,16,8,idle
21,1773568382.864639,1773568387.864639,203,839.679802955665,711.7829940576439,6,6,4,4,3,3,195,8,idle
22,1773568383.864639,1773568388.864639,918,1029.2407407407406,675.3357174721851,7,9,5,4,4,4,907,11,idle
23,1773568384.864639,1773568389.864639,1593,1041.2994350282486,726.4534279780345,8,8,5,5,3,3,1583,10,idle
24,1773568385.864639,1773568390.864639,2399,1065.139641517299,702.5614692728274,8,8,5,5,3,3,2389,10,idle
25,1773568386.864639,1773568391.864639,2489,1058.5010044194455,703.3113605469434,7,7,4,4,3,3,2479,10,idle
26,1773568387.864639,1773568392.864639,2728,1066.223973607038,694.7884895133883,9,9,6,6,2,2,2720,8,idle
27,1773568388.864639,1773568393.864639,2087,1041.9621466219453,709.4749060977073,7,5,6,6,1,1,2085,2,idle
28,1773568389.864639,1773568394.864639,1808,1044.8821902654868,733.6872151441892,5,5,5,5,0,0,1808,0,idle
29,1773568390.864639,1773568395.864639,1084,966.1171586715867,787.0326238401938,5,5,5,5,0,0,1084,0,idle
30,1773568391.864639,1773568396.864639,1337,1006.2258788332086,816.5640972933278,5,5,5,5,0,0,1337,0,idle
31,1773568392.864639,1773568397.864639,1052,965.6844106463878,868.544966550059,2,2,2,2,0,0,1052,0,idle
32,1773568393.864639,1773568398.864639,1390,994.5251798561151,840.4290475029743,2,2,2,2,0,0,1390,0,idle
33,1773568394.864639,1773568399.864639,1083,938.8614958448753,792.97941598852,2,2,2,2,0,0,1083,0,idle
34,1773568395.864639,1773568400.864639,1328,983.8177710843373,853.8653474497223,2,2,2,2,0,0,1328,0,idle
35,1773568396.864639,1773568401.864639,1109,950.4752028854824,885.9708286264096,2,2,2,2,0,0,1109,0,idle
36,1773568397.864639,1773568402.864639,1304,981.7599693251534,860.2402321442183,2,2,2,2,0,0,1304,0,idle
37,1773568398.864639,1773568403.864639,1046,967.246653919694,891.8733911280178,2,2,2,2,0,0,1046,0,idle
38,1773568399.864639,1773568404.864639,1353,976.8211382113822,847.0751229039762,6,6,3,3,2,2,1345,8,idle
39,1773568400.864639,1773568405.864639,1136,934.4691901408451,788.6491863547581,6,6,3,3,2,2,1128,8,idle
40,1773568401.864639,1773568406.864639,1037,919.970106075217,731.7087369619262,6,6,3,3,2,2,1029,8,idle
41,1773568402.864639,1773568407.864639,713,867.492286115007,728.746611578429,9,9,6,6,2,2,705,8,idle
42,1773568403.864639,1773568408.864639,559,859.128801431127,718.3988278481382,10,10,7,7,2,2,551,8,idle
43,1773568404.864639,1773568409.864639,160,670.175,755.5010961536112,6,6,6,6,0,0,160,0,idle
44,1773568405.864639,1773568410.864639,53,437.9811320754717,678.0630640787954,6,6,7,7,0,0,53,0,idle
45,1773568406.864639,1773568411.864639,12,69.83333333333333,16.336425186643126,5,5,6,6,0,0,12,0,idle
46,1773568407.864639,1773568412.864639,6,81.66666666666667,15.539197748489677,3,3,3,3,0,0,6,0,idle
47,1773568408.864639,1773568413.864639,3,76.66666666666667,14.433756729740644,2,2,2,2,0,0,3,0,idle
48,1773568409.864639,1773568414.864639,3,76.66666666666667,14.433756729740644,2,2,2,2,0,0,3,0,idle
51,1773568412.864639,1773568417.864639,13,182.84615384615384,144.80552829792455,3,3,4,4,0,0,13,0,bulbchange
52,1773568413.864639,1773568418.864639,24,168.875,134.09092064714898,6,6,7,7,0,0,24,0,bulbchange
53,1773568414.864639,1773568419.864639,24,168.875,134.09092064714898,6,6,7,7,0,0,24,0,bulbchange
54,1773568415.864639,1773568420.864639,24,168.875,134.09092064714898,6,6,7,7,0,0,24,0,bulbchange
55,1773568416.864639,1773568421.864639,24,168.875,134.09092064714898,6,6,7,7,0,0,24,0,bulboff
56,1773568417.864639,1773568422.864639,11,152.36363636363637,125.05540590256203,6,5,6,5,0,0,11,0,idle
63,1773568424.864639,1773568429.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
64,1773568425.864639,1773568430.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
65,1773568426.864639,1773568431.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
66,1773568427.864639,1773568432.864639,7,171.42857142857142,144.35818547725555,3,3,4,4,0,0,7,0,bulbon
67,1773568428.864639,1773568433.864639,10,137.4,129.99076890302635,4,4,5,5,0,0,10,0,idle
68,1773568429.864639,1773568434.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
69,1773568430.864639,1773568435.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
70,1773568431.864639,1773568436.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
71,1773568432.864639,1773568437.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
79,1773568440.864639,1773568445.864639,4,61.0,6.6332495807108,3,3,2,2,1,1,3,1,idle
80,1773568441.864639,1773568446.864639,8,65.5,6.48074069840786,3,3,2,2,1,1,3,5,idle
81,1773568442.864639,1773568447.864639,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
82,1773568443.864639,1773568448.864639,14,64.85714285714286,6.455255972487046,4,4,3,3,1,1,6,8,idle
83,1773568444.864639,1773568449.864639,14,64.85714285714286,6.455255972487046,4,4,3,3,1,1,6,8,idle
