windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
0,1773349508.767854,1773349513.767854,36,123.55555555555556,69.3201452658788,3,3,3,3,36,0,idle
1,1773349513.767854,1773349518.767854,5,206.6,259.291920429465,2,2,2,2,5,0,idle
3,1773349523.767854,1773349528.767854,9,94.0,85.6314778571525,5,5,5,5,9,0,idle
4,1773349528.767854,1773349533.767854,14,123.07142857142857,157.91159371170764,3,4,3,3,7,7,idle
5,1773349533.767854,1773349538.767854,1,70.0,,1,1,0,0,0,1,idle
6,1773349538.767854,1773349543.767854,13,139.92307692307693,173.78457044017728,5,5,5,5,13,0,idle
7,1773349543.767854,1773349548.767854,8,203.875,161.27389081045592,3,3,4,4,8,0,bulbchange
8,1773349548.767854,1773349553.767854,11,127.45454545454545,65.92626735431581,7,7,2,2,3,8,bulbchange
9,1773349553.767854,1773349558.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
10,1773349558.767854,1773349563.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
12,1773349568.767854,1773349573.767854,15,173.2,147.44597073407698,4,4,5,5,15,0,bulboff
13,1773349573.767854,1773349578.767854,16,136.5625,130.8729504774255,3,3,4,4,16,0,bulboff
14,1773349578.767854,1773349583.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
15,1773349583.767854,1773349588.767854,12,157.25,133.30629460688712,5,5,5,5,12,0,bulbon
16,1773349588.767854,1773349593.767854,6,64.0,6.92820323027551,3,3,2,2,3,3,idle
17,1773349593.767854,1773349598.767854,5,70.0,0.0,1,1,0,0,0,5,idle
18,1773349598.767854,1773349603.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
19,1773349603.767854,1773349608.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
21,1773349613.767854,1773349618.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
22,1773349618.767854,1773349623.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
24,1773349628.767854,1773349633.767854,19,184.47368421052633,142.9912073524696,5,5,5,5,19,0,bulbchange
25,1773349633.767854,1773349638.767854,4,58.5,3.0,2,2,2,2,4,0,idle
26,1773349638.767854,1773349643.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
27,1773349643.767854,1773349648.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
28,1773349648.767854,1773349653.767854,9,181.0,148.18400723424912,3,3,4,4,9,0,bulboff
29,1773349653.767854,1773349658.767854,8,70.0,0.0,1,1,0,0,0,8,bulbon
30,1773349658.767854,1773349663.767854,9,180.88888888888889,148.02317761455842,3,3,4,4,9,0,bulbon
33,1773349673.767854,1773349678.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
35,1773349683.767854,1773349688.767854,14,139.42857142857142,130.13349021187923,3,3,4,4,14,0,bulboff
36,1773349688.767854,1773349693.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,bulboff
37,1773349693.767854,1773349698.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
38,1773349698.767854,1773349703.767854,16,200.1875,151.13667931158648,3,3,4,4,16,0,bulbon
39,1773349703.767854,1773349708.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
41,1773349713.767854,1773349718.767854,10,66.4,6.022181221672648,3,3,2,2,3,7,idle
42,1773349718.767854,1773349723.767854,5,60.8,5.761944116355173,3,3,2,2,4,1,bulbchange
43,1773349723.767854,1773349728.767854,18,184.61111111111111,149.0306478108718,3,3,4,4,18,0,bulbchange
46,1773349738.767854,1773349743.767854,8,196.125,150.80113442165197,3,3,4,4,8,0,bulbon
48,1773349748.767854,1773349753.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
49,1773349753.767854,1773349758.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
52,1773349768.767854,1773349773.767854,7,163.85714285714286,223.9489737800619,4,4,4,4,7,0,idle
53,1773349773.767854,1773349778.767854,16,132.5625,122.43908349324845,5,5,5,5,16,0,bulboff
54,1773349778.767854,1773349783.767854,14,92.0,66.04660359287104,4,5,3,3,6,8,idle
55,1773349783.767854,1773349788.767854,8,178.5,158.05785559182345,4,4,5,5,8,0,bulbon
56,1773349788.767854,1773349793.767854,18,192.22222222222223,145.52362070470394,3,3,4,4,18,0,bulbon
58,1773349798.767854,1773349803.767854,4,58.5,3.0,2,2,2,2,4,0,idle
59,1773349803.767854,1773349808.767854,6,72.33333333333333,19.479904174986764,4,4,4,4,6,0,idle
62,1773349818.767854,1773349823.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
63,1773349823.767854,1773349828.767854,22,98.0,0.0,7,6,0,0,0,0,idle
64,1773349828.767854,1773349833.767854,3,102.0,36.373066958946424,2,2,2,2,3,0,idle
65,1773349833.767854,1773349838.767854,16,129.125,124.38106769118843,4,4,5,5,16,0,bulboff
66,1773349838.767854,1773349843.767854,8,70.0,0.0,1,1,0,0,0,8,idle
67,1773349843.767854,1773349848.767854,9,181.0,148.17978944511967,3,3,4,4,9,0,bulbon
68,1773349848.767854,1773349853.767854,19,177.73684210526315,147.89893024376968,4,4,5,5,19,0,bulbchange
70,1773349858.767854,1773349863.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
71,1773349863.767854,1773349868.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
74,1773349878.767854,1773349883.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
75,1773349883.767854,1773349888.767854,4,243.25,284.05677249451384,2,2,2,2,4,0,idle
77,1773349893.767854,1773349898.767854,6,112.0,102.76769920553832,4,4,4,4,6,0,idle
78,1773349898.767854,1773349903.767854,6,70.0,0.0,1,1,0,0,0,6,idle
79,1773349903.767854,1773349908.767854,16,130.6875,123.32002743539536,4,4,4,4,14,2,bulboff
80,1773349908.767854,1773349913.767854,4,58.5,3.0,2,2,2,2,4,0,bulbchange
81,1773349913.767854,1773349918.767854,19,125.42105263157895,120.29746270043997,5,5,5,5,19,0,bulbchange
82,1773349918.767854,1773349923.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
83,1773349923.767854,1773349928.767854,11,214.9090909090909,152.50472421892678,3,3,4,4,11,0,bulbon
84,1773349928.767854,1773349933.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
86,1773349938.767854,1773349943.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
87,1773349943.767854,1773349948.767854,12,150.33333333333334,138.22335898717324,3,3,4,4,12,0,bulboff
89,1773349953.767854,1773349958.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
90,1773349958.767854,1773349963.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
91,1773349963.767854,1773349968.767854,8,70.0,0.0,1,1,0,0,0,8,idle
92,1773349968.767854,1773349973.767854,31,170.06451612903226,140.4440423523122,6,6,6,6,31,0,bulbon
93,1773349973.767854,1773349978.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
94,1773349978.767854,1773349983.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
95,1773349983.767854,1773349988.767854,16,104.3125,151.68243965601292,5,5,5,5,16,0,idle
97,1773349993.767854,1773349998.767854,3,166.0,132.82695509571843,2,2,2,2,3,0,idle
98,1773349998.767854,1773350003.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
101,1773350013.767854,1773350018.767854,16,129.0625,124.254292347052,4,4,5,5,16,0,bulboff
102,1773350018.767854,1773350023.767854,21,166.28571428571428,143.18559384838366,3,3,4,4,21,0,bulbchange
103,1773350023.767854,1773350028.767854,20,122.4,110.62330581515671,6,6,5,5,12,8,bulbon
104,1773350028.767854,1773350033.767854,3,102.0,36.373066958946424,2,2,2,2,3,0,bulbon
105,1773350033.767854,1773350038.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
106,1773350038.767854,1773350043.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
108,1773350048.767854,1773350053.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
109,1773350053.767854,1773350058.767854,2,57.0,4.242640687119285,1,1,1,1,2,0,idle
110,1773350058.767854,1773350063.767854,9,188.0,158.4416296305993,3,3,4,4,9,0,bulbchange
111,1773350063.767854,1773350068.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
113,1773350073.767854,1773350078.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
114,1773350078.767854,1773350083.767854,7,70.57142857142857,18.3834811978684,4,4,4,4,7,0,idle
115,1773350083.767854,1773350088.767854,3,70.0,0.0,1,1,0,0,0,3,idle
116,1773350088.767854,1773350093.767854,8,65.5,6.480740698407858,3,3,2,2,3,5,idle
117,1773350093.767854,1773350098.767854,7,151.42857142857142,148.81516179795787,2,2,2,2,7,0,bulboff
118,1773350098.767854,1773350103.767854,7,127.57142857142857,119.54616561933601,3,3,4,4,7,0,bulboff
119,1773350103.767854,1773350108.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
121,1773350113.767854,1773350118.767854,12,150.33333333333334,138.22335898717324,3,3,4,4,12,0,bulbon
122,1773350118.767854,1773350123.767854,4,58.5,3.0,2,2,2,2,4,0,idle
123,1773350123.767854,1773350128.767854,17,168.41176470588235,173.89402621407433,5,5,5,5,17,0,bulbchange
124,1773350128.767854,1773350133.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
125,1773350133.767854,1773350138.767854,6,126.33333333333333,95.2547461634677,3,3,3,3,6,0,idle
126,1773350138.767854,1773350143.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
127,1773350143.767854,1773350148.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
128,1773350148.767854,1773350153.767854,8,70.0,0.0,1,1,0,0,0,8,idle
129,1773350153.767854,1773350158.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
