windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,tcpPacketCount,udpPacketCount,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,avgInterPacketTime,stdInterPacketTime,maxInterPacketTime,smallPackets,mediumPackets,largePackets,count_size_200,count_size_368,count_size_369,count_size_74,anomalousRatio,cameraExternalPkts,cameraExternalBytes,rpi_pktsTo,rpi_pktsFrom,rpi_bytesTo,rpi_bytesFrom,rpi_avgLenTo,rpi_avgLenFrom,hub_pktsTo,hub_pktsFrom,hub_bytesTo,hub_bytesFrom,hub_avgLenTo,hub_avgLenFrom,lounge_pktsTo,lounge_pktsFrom,lounge_bytesTo,lounge_bytesFrom,lounge_avgLenTo,lounge_avgLenFrom,bedroom_pktsTo,bedroom_pktsFrom,bedroom_bytesTo,bedroom_bytesFrom,bedroom_avgLenTo,bedroom_avgLenFrom,camera_pktsTo,camera_pktsFrom,camera_bytesTo,camera_bytesFrom,camera_avgLenTo,camera_avgLenFrom,label,packetCount_delta,cameraExternalPkts_delta,lounge_pktsTo_delta,bedroom_pktsTo_delta,hub_pktsTo_delta,camera_pktsTo_delta
0,1773349508.767854,1773349513.767854,36,123.55555555555556,68.35058499483236,36,0,3,3,3,3,0.006702545710972377,0.015549109668109837,0.07190108299255371,18,18,0,0,0,0,4,0.3333333333333333,0,0,8,28,1256,3192,157.0,114.0,0,0,0,0,0.0,0.0,14,4,1596,628,114.0,157.0,14,4,1596,628,114.0,157.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
4,1773349512.767854,1773349517.767854,5,206.6,231.91774403870005,5,0,2,2,2,2,0.07127946615219116,0.10366988481122259,0.2500319480895996,2,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,3,246,787,123.0,262.3333333333333,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,-31.0,0.0,-14.0,-14.0,2.0,0.0
5,1773349513.767854,1773349518.767854,5,206.6,231.91774403870005,5,0,2,2,2,2,0.07127946615219116,0.10366988481122259,0.2500319480895996,2,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,3,246,787,123.0,262.3333333333333,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
6,1773349514.767854,1773349519.767854,5,206.6,231.91774403870005,5,0,2,2,2,2,0.07127946615219116,0.10366988481122259,0.2500319480895996,2,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,3,246,787,123.0,262.3333333333333,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
7,1773349515.767854,1773349520.767854,5,206.6,231.91774403870005,5,0,2,2,2,2,0.07127946615219116,0.10366988481122259,0.2500319480895996,2,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,3,246,787,123.0,262.3333333333333,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
8,1773349516.767854,1773349521.767854,5,206.6,231.91774403870005,5,0,2,2,2,2,0.07127946615219116,0.10366988481122259,0.2500319480895996,2,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,2,3,246,787,123.0,262.3333333333333,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
11,1773349519.767854,1773349524.767854,6,58.0,2.8284271247461903,6,0,3,3,3,3,0.030606174468994142,0.038775533025426905,0.10431599617004395,6,0,0,0,0,0,0,0.0,0,0,2,4,120,228,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,idle,1.0,0.0,2.0,2.0,-2.0,0.0
12,1773349520.767854,1773349525.767854,6,58.0,2.8284271247461903,6,0,3,3,3,3,0.030606174468994142,0.038775533025426905,0.10431599617004395,6,0,0,0,0,0,0,0.0,0,0,2,4,120,228,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
13,1773349521.767854,1773349526.767854,6,58.0,2.8284271247461903,6,0,3,3,3,3,0.030606174468994142,0.038775533025426905,0.10431599617004395,6,0,0,0,0,0,0,0.0,0,0,2,4,120,228,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
14,1773349522.767854,1773349527.767854,9,94.0,80.73413156775763,9,0,5,5,5,5,0.412227988243103,1.0130841721707633,3.0911941528320312,7,2,0,0,0,0,0,0.0,0,0,2,4,120,228,60.0,57.0,1,2,123,375,123.0,187.5,2,1,114,60,57.0,60.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,idle,3.0,0.0,0.0,0.0,1.0,0.0
15,1773349523.767854,1773349528.767854,9,94.0,80.73413156775763,9,0,5,5,5,5,0.412227988243103,1.0130841721707633,3.0911941528320312,7,2,0,0,0,0,0,0.0,0,0,2,4,120,228,60.0,57.0,1,2,123,375,123.0,187.5,2,1,114,60,57.0,60.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
