windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
0,1773349508.767854,1773349513.767854,22,128.8181818181818,72.57418953741741,3,3,3,3,0,0,22,0,idle
4,1773349512.767854,1773349517.767854,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
5,1773349513.767854,1773349518.767854,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
6,1773349514.767854,1773349519.767854,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
7,1773349515.767854,1773349520.767854,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
8,1773349516.767854,1773349521.767854,5,206.6,259.29192042946494,2,2,2,2,0,0,5,0,idle
11,1773349519.767854,1773349524.767854,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
12,1773349520.767854,1773349525.767854,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
13,1773349521.767854,1773349526.767854,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
14,1773349522.767854,1773349527.767854,9,94.0,85.6314778571525,5,5,5,5,0,0,9,0,idle
15,1773349523.767854,1773349528.767854,9,94.0,85.6314778571525,5,5,5,5,0,0,9,0,idle
16,1773349524.767854,1773349529.767854,4,291.25,272.96932062046824,2,2,2,2,0,0,4,0,idle
17,1773349525.767854,1773349530.767854,7,210.14285714285714,218.92953856696192,2,2,2,2,0,0,7,0,idle
18,1773349526.767854,1773349531.767854,7,210.14285714285714,218.92953856696192,2,2,2,2,0,0,7,0,idle
19,1773349527.767854,1773349532.767854,11,137.54545454545453,177.035230186742,3,4,3,3,1,1,7,4,idle
20,1773349528.767854,1773349533.767854,14,123.07142857142857,157.91159371170767,3,4,3,3,1,1,7,7,idle
21,1773349529.767854,1773349534.767854,14,80.42857142857143,20.883244242930505,3,4,3,3,1,1,6,8,idle
22,1773349530.767854,1773349535.767854,11,74.54545454545455,11.165694213649562,3,3,2,2,1,1,3,8,idle
23,1773349531.767854,1773349536.767854,11,74.54545454545455,11.165694213649562,3,3,2,2,1,1,3,8,idle
24,1773349532.767854,1773349537.767854,4,70.0,0.0,1,1,0,0,1,1,0,4,idle
25,1773349533.767854,1773349538.767854,1,70.0,,1,1,0,0,1,1,0,1,idle
26,1773349534.767854,1773349539.767854,7,94.71428571428571,97.17803984734117,4,4,4,4,0,0,7,0,idle
27,1773349535.767854,1773349540.767854,9,94.0,85.6314778571525,5,5,5,5,0,0,9,0,idle
28,1773349536.767854,1773349541.767854,9,94.0,85.6314778571525,5,5,5,5,0,0,9,0,idle
29,1773349537.767854,1773349542.767854,13,139.92307692307693,173.78457044017728,5,5,5,5,0,0,13,0,idle
30,1773349538.767854,1773349543.767854,13,139.92307692307693,173.78457044017728,5,5,5,5,0,0,13,0,idle
31,1773349539.767854,1773349544.767854,6,192.66666666666666,234.41558537492057,2,2,2,2,0,0,6,0,idle
32,1773349540.767854,1773349545.767854,4,243.25,284.05677249451384,2,2,2,2,0,0,4,0,idle
33,1773349541.767854,1773349546.767854,4,243.25,284.05677249451384,2,2,2,2,0,0,4,0,idle
35,1773349543.767854,1773349548.767854,6,195.16666666666666,156.48950976556438,3,3,4,4,0,0,6,0,bulbchange
36,1773349544.767854,1773349549.767854,6,195.16666666666666,156.48950976556438,3,3,4,4,0,0,6,0,bulbchange
37,1773349545.767854,1773349550.767854,6,195.16666666666666,156.48950976556438,3,3,4,4,0,0,6,0,bulbchange
38,1773349546.767854,1773349551.767854,6,195.16666666666666,156.48950976556438,3,3,4,4,0,0,6,0,bulbchange
39,1773349547.767854,1773349552.767854,9,185.44444444444446,141.1702085348668,5,5,5,5,0,0,9,0,idle
40,1773349548.767854,1773349553.767854,11,127.45454545454545,65.92626735431581,7,7,2,2,2,2,3,8,idle
41,1773349549.767854,1773349554.767854,14,112.57142857142857,64.96000460130986,9,9,4,4,2,2,6,8,idle
42,1773349550.767854,1773349555.767854,14,112.57142857142857,64.96000460130986,9,9,4,4,2,2,6,8,idle
43,1773349551.767854,1773349556.767854,14,112.57142857142857,64.96000460130986,9,9,4,4,2,2,6,8,idle
44,1773349552.767854,1773349557.767854,11,98.0,29.448259710889538,7,7,2,2,2,2,3,8,idle
45,1773349553.767854,1773349558.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
50,1773349558.767854,1773349563.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
51,1773349559.767854,1773349564.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
52,1773349560.767854,1773349565.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53,1773349561.767854,1773349566.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
54,1773349562.767854,1773349567.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
