frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773396707.051921000,0.034305000,74,192.168.0.54,192.168.0.52,6,64,60,0,0x0002,3,52656,80,,,
1773396707.116613000,0.002708000,60,192.168.0.52,192.168.0.54,6,255,44,0,0x0012,3,80,52656,,,
1773396707.116629000,0.000016000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396707.116697000,0.000042000,170,192.168.0.54,192.168.0.52,6,64,156,116,0x0018,3,52656,80,,,
1773396707.124560000,0.003229000,157,192.168.0.52,192.168.0.54,6,255,143,103,0x0018,3,80,52656,,,
1773396707.124567000,0.000007000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396707.126918000,0.002325000,73,192.168.0.52,192.168.0.54,6,255,59,19,0x0018,3,80,52656,,,
1773396707.126922000,0.000004000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396707.127068000,0.000120000,156,192.168.0.54,192.168.0.52,6,64,142,102,0x0018,3,52656,80,,,
1773396707.135712000,0.008571000,257,192.168.0.52,192.168.0.54,6,255,243,203,0x0018,3,80,52656,,,
1773396707.135794000,0.000082000,227,192.168.0.54,192.168.0.52,6,64,213,173,0x0018,3,52656,80,,,
1773396707.140738000,0.004871000,135,192.168.0.52,192.168.0.54,6,255,121,81,0x0018,3,80,52656,,,
1773396707.140999000,0.000261000,74,192.168.0.54,192.168.0.47,6,64,60,0,0x0002,4,39088,80,,,
1773396707.182363000,0.022437000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396707.228268000,0.003809000,60,192.168.0.47,192.168.0.54,6,255,44,0,0x0012,4,80,39088,,,
1773396707.228275000,0.000007000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,4,39088,80,,,
1773396707.228317000,0.000016000,170,192.168.0.54,192.168.0.47,6,64,156,116,0x0018,4,39088,80,,,
1773396707.238708000,0.010369000,176,192.168.0.47,192.168.0.54,6,255,162,122,0x0018,4,80,39088,,,
1773396707.238712000,0.000004000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,4,39088,80,,,
1773396707.238785000,0.000048000,156,192.168.0.54,192.168.0.47,6,64,142,102,0x0018,4,39088,80,,,
1773396707.250528000,0.011679000,257,192.168.0.47,192.168.0.54,6,255,243,203,0x0018,4,80,39088,,,
1773396707.250602000,0.000074000,227,192.168.0.54,192.168.0.47,6,64,213,173,0x0018,4,39088,80,,,
1773396707.255564000,0.004942000,135,192.168.0.47,192.168.0.54,6,255,121,81,0x0018,4,80,39088,,,
1773396707.298364000,0.013603000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,4,39088,80,,,
1773396714.913105000,0.062151000,667,192.168.0.200,52.50.169.45,6,255,653,613,0x0018,12,52436,443,,,
1773396714.943371000,0.030266000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,12,443,52436,,,
1773396714.945222000,0.001851000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,12,443,52436,,,
1773396714.947211000,0.001989000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,12,52436,443,,,
1773396722.154372000,0.257063000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396722.154445000,0.000073000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,3,52656,80,,,
1773396722.259960000,0.055199000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,3,80,52656,,,
1773396722.410366000,0.150406000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,4,39088,80,,,
1773396722.410438000,0.000072000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,4,39088,80,,,
1773396722.465579000,0.055141000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,4,80,39088,,,
1773396724.902397000,0.696543000,315,192.168.0.200,52.50.169.45,6,255,301,261,0x0018,12,52436,443,,,
1773396724.927671000,0.025274000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,12,443,52436,,,
1773396725.045556000,0.045724000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773396725.143785000,0.098229000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,12,52436,443,,,
1773396725.340683000,0.066425000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773396725.638758000,0.298075000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
