frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773349508.767854000,0.020094000,74,192.168.0.54,192.168.0.52,6,64,60,0,0x0002,14,54542,80,,,
1773349508.839842000,0.002280000,60,192.168.0.52,192.168.0.54,6,255,44,0,0x0012,14,80,54542,,,
1773349508.839863000,0.000021000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349508.839927000,0.000037000,170,192.168.0.54,192.168.0.52,6,64,156,116,0x0018,14,54542,80,,,
1773349508.854083000,0.014088000,176,192.168.0.52,192.168.0.54,6,255,162,122,0x0018,14,80,54542,,,
1773349508.854091000,0.000008000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349508.854296000,0.000180000,156,192.168.0.54,192.168.0.52,6,64,142,102,0x0018,14,54542,80,,,
1773349508.879183000,0.014642000,257,192.168.0.52,192.168.0.54,6,255,243,203,0x0018,14,80,54542,,,
1773349508.879269000,0.000086000,227,192.168.0.54,192.168.0.52,6,64,213,173,0x0018,14,54542,80,,,
1773349508.884192000,0.004849000,135,192.168.0.52,192.168.0.54,6,255,121,81,0x0018,14,80,54542,,,
1773349508.884453000,0.000261000,74,192.168.0.54,192.168.0.47,6,64,60,0,0x0002,15,49960,80,,,
1773349508.930365000,0.045833000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349508.943464000,0.013028000,60,192.168.0.47,192.168.0.54,6,255,44,0,0x0012,15,80,49960,,,
1773349508.943480000,0.000016000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349508.943518000,0.000012000,170,192.168.0.54,192.168.0.47,6,64,156,116,0x0018,15,49960,80,,,
1773349508.950004000,0.006460000,176,192.168.0.47,192.168.0.54,6,255,162,122,0x0018,15,80,49960,,,
1773349508.950010000,0.000006000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349508.950081000,0.000042000,156,192.168.0.54,192.168.0.47,6,64,142,102,0x0018,15,49960,80,,,
1773349508.956180000,0.006035000,257,192.168.0.47,192.168.0.54,6,255,243,203,0x0018,15,80,49960,,,
1773349508.956251000,0.000071000,227,192.168.0.54,192.168.0.47,6,64,213,173,0x0018,15,49960,80,,,
1773349508.961762000,0.005438000,135,192.168.0.47,192.168.0.54,6,255,121,81,0x0018,15,80,49960,,,
1773349509.002365000,0.040603000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349517.201312000,0.111922000,667,192.168.0.200,52.50.169.45,6,255,653,613,0x0018,31,52436,443,,,
1773349517.228843000,0.027531000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349517.230344000,0.001501000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349517.236398000,0.006054000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349517.486430000,0.003718000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349523.946377000,0.000667000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349523.946450000,0.000073000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349523.962367000,0.004226000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349523.962439000,0.000072000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
