windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
0,1774266518.1956165,1774266520.1956165,4,4,243.25,284.05677249451384,60,667,123.0,1,1,486.5,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,33871.5,4,0.019312500000000003,0.02108246820622924,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,0.0155335,0.019112389188691195,0.019312500000000003,0.02108246820622924,movingAroundHouse
1,1774266529.8218074,1774266531.8218074,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23289.333333333332,3,0.020338333333333333,0.013175911556068266,0,0,1,2,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.07055600000000001,0.050565205922650014,0.020338333333333333,0.013175911556068266,bulbOff
2,1774266533.7636395,1774266535.7636395,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,22845.666666666668,3,0.02718833333333333,0.012753377291264198,1,2,0,0,0,0,0,0,0,0,0,0,0,171.0,202.2325394193526,0.0742165,0.06526100615605003,0.02718833333333333,0.012753377291264198,bulbChange
3,1774266539.2121825,1774266541.2121825,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23267.333333333332,3,0.066019,0.06925265812226994,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.039265,0.015659586776157284,0.066019,0.06925265812226994,bulbOn
4,1774266542.7366438,1774266544.7366438,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23330.0,3,0.036736,0.06057058907588732,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.12422549999999999,0.1363337229466723,0.036736,0.06057058907588732,plugOff
5,1774266553.8787665,1774266555.8787665,5,3,131.8,134.62614902016622,60,372,70.0,4,0,329.5,3,3,227.0,62.609903369994115,116.6,135.45035991092826,2,2,117.0,174.85136545077364,2,0.6666666666666666,23308.0,3,0.06253800000000001,0.07664326691562671,0,0,0,0,0,0,0,2,1,2,0,0,0,170.5,201.52543263816605,0.07667650000000001,0.07125868587407433,0.02961333333333333,0.038227709901762795,plugOn
6,1774266556.0673184,1774266558.0673184,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23245.333333333332,3,0.04420166666666667,0.021399081670327197,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.127018,0.13976248372864586,0.04420166666666667,0.021399081670327197,bulbChange
9,1774266565.766388,1774266567.766388,418,418,1109.7942583732058,1086.576347528199,66,12918,1494.0,130,284,231947.0,2,2,59.645933014354064,6.4884324456849205,1095.7942583732058,1086.576347528199,2,2,1043.7942583732058,1086.576347528199,288,0.6889952153110048,2543.150717703349,418,0.0019103684210526317,0.003969193264190695,0,0,0,0,130,288,0,0,0,0,0,0,0,5712.295774647887,4357.340330307554,0.018218692307692307,0.004942707806732163,0.0019103684210526317,0.003969193264190695,outsideDetection
7,1774266567.8301816,1774266569.8301816,400,400,1182.315,1294.2212958693362,60,17202,1494.0,114,283,236463.0,4,4,61.255,15.615844886807183,1168.3,1294.234370783086,3,3,1115.94,1294.5592979232733,286,0.715,2908.2825,400,0.0014843299999999999,0.00856562842510065,0,0,0,0,113,283,2,2,0,0,0,0,0,5046.575342465753,4678.3621330244305,0.019296834782608702,0.004894677105151252,0.0014843299999999999,0.00856562842510065,movingAroundHouse
8,1774266572.5389266,1774266574.5389266,304,296,928.4802631578947,812.8860735589392,60,5778,1418.0,111,176,141129.0,8,8,60.963815789473685,18.13067728075881,914.421052631579,812.9497569211128,4,4,884.2297297297297,812.823253826196,188,0.6351351351351351,2879.685810810811,293,0.00416646052631579,0.006627812019818746,1,2,0,0,108,193,0,0,0,0,0,0,1,3840.4927536231885,4710.586680156756,0.017693745283018866,0.004043735343092762,0.004166966216216216,0.006630868616991589,bulbOff
10,1774266580.018948,1774266582.018948,10,10,195.7,152.3074740998178,60,373,87.0,6,0,978.5,4,4,199.0,72.29568912920512,180.5,153.51167165181067,2,2,140.5,153.51167165181067,8,0.8,27060.1,10,0.0320636,0.0398045894149015,3,4,0,0,0,0,0,0,1,2,0,0,0,170.625,152.47570064018163,0.07947157142857142,0.07829266939685804,0.0320636,0.0398045894149015,plugOff
11,1774266580.689478,1774266582.689478,11,11,183.36363636363637,150.1727490107794,60,373,87.0,7,0,1008.5,4,4,204.0909090909091,70.63349707533183,167.72727272727272,151.67009653131424,2,2,127.72727272727273,151.67009653131424,8,0.7272727272727273,24791.363636363636,11,0.040609818181818184,0.047216322410408414,3,5,0,0,0,0,0,0,1,2,0,0,0,170.625,152.47570064018163,0.096157875,0.08649581756434817,0.040609818181818184,0.047216322410408414,bulbOn
12,1774266580.8678966,1774266582.8678966,11,11,183.36363636363637,150.1727490107794,60,373,87.0,7,0,1008.5,4,4,204.0909090909091,70.63349707533183,167.72727272727272,151.67009653131424,2,2,127.72727272727273,151.67009653131424,8,0.7272727272727273,24791.363636363636,11,0.040609818181818184,0.047216322410408414,3,5,0,0,0,0,0,0,1,2,0,0,0,170.625,152.47570064018163,0.096157875,0.08649581756434817,0.040609818181818184,0.047216322410408414,bulbChange
13,1774266587.154138,1774266589.154138,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23264.0,3,0.04178366666666666,0.037318395655940695,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.080129,0.07654148063631903,0.04178366666666666,0.037318395655940695,plugOn
14,1774266590.368139,1774266592.368139,5,5,206.6,259.29192042946494,60,667,123.0,2,1,516.5,2,2,199.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,27727.0,5,0.021881,0.03336544531397716,0,0,0,0,0,0,2,3,0,0,0,0,0,245.33333333333334,314.0785464391564,0.03709766666666667,0.039046100961982536,0.021881,0.03336544531397716,movingAroundHouse
15,1774266603.9225411,1774266605.9225411,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,22735.666666666668,3,0.02690366666666667,0.023765546581834246,1,2,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.1336695,0.15059606672320497,0.02690366666666667,0.023765546581834246,bulbOff
16,1774266616.287913,1774266618.287913,3,3,172.33333333333334,171.71585055938584,60,370,87.0,2,0,258.5,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,22713.666666666668,3,0.01915,0.007799336958998503,1,2,0,0,0,0,0,0,0,0,0,0,0,169.5,200.11121907579295,0.049373,0.033409381197502,0.01915,0.007799336958998503,bulbOn
