frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.time_relative,tcp.stream,tcp.analysis.ack_rtt,tcp.time_delta,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,tls.record.content_type,udp.length
1776411952.012511000,0.000001000,667,192.168.0.200,3.248.160.245,6,255,653,613,0x0018,0.000000000,13,,0.000000000,52706,443,,,,2920,608,,23,
1776411952.036980000,0.024430000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,0.024469000,13,0.024469000,0.024469000,443,52706,,,,65535,64,,23,
1776411952.038550000,0.001570000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,0.026039000,13,,0.001570000,443,52706,,,,65535,64,,23,
1776411952.041577000,0.003027000,60,192.168.0.200,3.248.160.245,6,255,40,0,0x0010,0.029066000,13,0.003027000,0.003027000,52706,443,,,,2782,,,,
1776411961.984239000,0.035634000,315,192.168.0.200,3.248.160.245,6,255,301,261,0x0018,9.971728000,13,,9.942662000,52706,443,,,,2782,256,,23,
1776411962.016576000,0.032337000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,10.004065000,13,0.032337000,0.032337000,443,52706,,,,65535,64,,23,
1776411962.083364000,0.037305000,60,192.168.0.200,3.248.160.245,6,255,40,0,0x0010,10.070853000,13,0.066788000,0.066788000,52706,443,,,,2713,,,,
1776411962.806327000,0.100467000,114,192.168.0.35,52.85.46.73,6,64,100,48,0x0018,0.000000000,24,,0.000000000,37730,443,,,,529,43,,23,
1776411962.806327000,0.000000000,90,192.168.0.35,52.85.46.73,6,64,76,24,0x0019,0.000000000,24,,0.000000000,37730,443,,,,529,19,,23,
1776411962.813160000,0.006833000,82,192.168.0.35,194.168.4.123,17,64,68,,,,,,,,,15397,53,api.eu.amazonalexa.com,,,,,48
1776411962.818994000,0.005834000,60,52.85.46.73,192.168.0.35,6,248,40,0,0x0004,0.012667000,24,,0.012667000,443,37730,,,,0,,,,
1776411962.833050000,0.014056000,176,194.168.4.123,192.168.0.35,17,57,162,,,,,,,,,53,15397,api.eu.amazonalexa.com,,,,,142
1776411962.841937000,0.008887000,74,192.168.0.35,3.165.150.173,6,64,60,0,0x0002,0.000000000,25,,0.000000000,52554,443,,,,29200,,,,
1776411962.865202000,0.000863000,74,3.165.150.173,192.168.0.35,6,246,60,0,0x0012,0.023265000,25,0.023265000,0.023265000,443,52554,,,,65535,,,,
1776411962.866641000,0.001439000,66,192.168.0.35,3.165.150.173,6,64,52,0,0x0010,0.024704000,25,0.001439000,0.001439000,52554,443,,,,457,,,,
1776411962.873678000,0.007037000,583,192.168.0.35,3.165.150.173,6,64,569,517,0x0018,0.031741000,25,,0.007037000,52554,443,,,,457,512,1,22,
1776411962.894761000,0.020521000,66,3.165.150.173,192.168.0.35,6,246,52,0,0x0010,0.052824000,25,0.021083000,0.021083000,443,52554,,,,131,,,,
1776411962.895167000,0.000406000,300,3.165.150.173,192.168.0.35,6,246,286,234,0x0018,0.053230000,25,,0.000406000,443,52554,,,,131,128\,1\,32\,53,2,22\,20,
1776411962.896105000,0.000938000,66,192.168.0.35,3.165.150.173,6,64,52,0,0x0010,0.054168000,25,0.000938000,0.000938000,52554,443,,,,473,,,,
1776411962.903387000,0.001506000,130,192.168.0.35,3.165.150.173,6,64,116,64,0x0018,0.061450000,25,,0.007282000,52554,443,,,,473,1\,53,,20,
1776411962.905759000,0.002372000,833,192.168.0.35,3.165.150.173,6,64,819,767,0x0018,0.063822000,25,,0.002372000,52554,443,,,,473,762,,,
1776411962.923491000,0.017732000,66,3.165.150.173,192.168.0.35,6,246,52,0,0x0010,0.081554000,25,0.020104000,0.017732000,443,52554,,,,131,,,,
1776411962.923492000,0.000001000,245,3.165.150.173,192.168.0.35,6,246,231,179,0x0018,0.081555000,25,,0.000001000,443,52554,,,,131,174,,,
1776411962.923492000,0.000000000,128,3.165.150.173,192.168.0.35,6,246,114,62,0x0018,0.081555000,25,,0.000000000,443,52554,,,,131,57,,,
1776411962.930215000,0.006723000,97,3.165.150.173,192.168.0.35,6,246,83,31,0x0018,0.088278000,25,0.024456000,0.006723000,443,52554,,,,134,26,,,
1776411962.931549000,0.001334000,66,192.168.0.35,3.165.150.173,6,64,52,0,0x0010,0.089612000,25,0.008057000,0.001334000,52554,443,,,,490,,,,
1776411962.931549000,0.000000000,97,192.168.0.35,3.165.150.173,6,64,83,31,0x0018,0.089612000,25,,0.000000000,52554,443,,,,490,26,,,
1776411962.962759000,0.031210000,480,3.165.150.173,192.168.0.35,6,246,466,414,0x0018,0.120822000,25,0.031210000,0.031210000,443,52554,,,,134,409,,,
1776411962.964691000,0.001932000,66,192.168.0.35,3.165.150.173,6,64,52,0,0x0010,0.122754000,25,0.001932000,0.001932000,52554,443,,,,507,,,,
1776411964.272866000,0.000000000,97,192.168.0.55,54.72.196.78,6,64,83,31,0x0018,0.000000000,27,,0.000000000,32807,443,,,,5283,26,,23,
1776411964.320467000,0.029883000,97,54.72.196.78,192.168.0.55,6,116,83,31,0x0018,0.047601000,27,0.047601000,0.047601000,443,32807,,,,3284,26,,23,
1776411964.321549000,0.001082000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,0.048683000,27,0.001082000,0.001082000,32807,443,,,,5283,,,,
1776411964.383404000,0.061855000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,0.000000000,28,,0.000000000,443,53506,,,,3079,64,,23,
1776411964.434992000,0.051588000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,0.051588000,28,0.051588000,0.051588000,53506,443,,,,2608,64,,23,
1776411964.468842000,0.012158000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,0.085438000,28,0.033850000,0.033850000,443,53506,,,,3079,,,,
1776411979.761181000,0.001174000,81,192.168.0.35,224.0.0.251,17,255,67,,,,,,,,,5353,5353,_eero-ebid._tcp.local,,,,,47
1776411984.466820000,0.018637000,667,192.168.0.200,3.248.160.245,6,255,653,613,0x0018,32.454309000,13,,22.383456000,52706,443,,,,2713,608,,23,
1776411984.492057000,0.025237000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,32.479546000,13,0.025237000,0.025237000,443,52706,,,,65535,64,,23,
1776411984.493630000,0.001573000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,32.481119000,13,,0.001573000,443,52706,,,,65535,64,,23,
1776411984.495472000,0.001842000,60,192.168.0.200,3.248.160.245,6,255,40,0,0x0010,32.482961000,13,0.001842000,0.001842000,52706,443,,,,2575,,,,
1776411991.008977000,0.105153000,99,192.168.0.35,13.50.43.159,6,64,85,33,0x0018,0.000000000,56,,0.000000000,36769,443,,,,728,28,,23,
1776411991.054913000,0.004719000,66,13.50.43.159,192.168.0.35,6,118,52,0,0x0010,0.045936000,56,0.045936000,0.045936000,443,36769,,,,474,,,,
1776411994.383439000,0.001294000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,30.000035000,28,,29.914597000,443,53506,,,,3079,64,,23,
1776411994.437351000,0.023451000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,30.053947000,28,0.053912000,0.053912000,53506,443,,,,2608,64,,23,
1776411994.451513000,0.014162000,315,192.168.0.200,3.248.160.245,6,255,301,261,0x0018,42.439002000,13,,9.956041000,52706,443,,,,2575,256,,23,
1776411994.475130000,0.023617000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,30.091726000,28,0.037779000,0.037779000,443,53506,,,,3079,,,,
1776411994.475434000,0.000304000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,42.462923000,13,0.023921000,0.023921000,443,52706,,,,65535,64,,23,
1776411994.596459000,0.067825000,60,192.168.0.200,3.248.160.245,6,255,40,0,0x0010,42.583948000,13,0.121025000,0.121025000,52706,443,,,,2506,,,,
1776411998.054912000,0.000055000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.355011000,0.021136000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.650892000,0.017766000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.960842000,0.168831000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.246236000,0.024006000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.553679000,0.000000000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.850199000,0.064420000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412000.148780000,0.128514000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412004.752793000,0.106794000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.754458000,0.001665000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.758403000,0.003945000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.760154000,0.001751000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.769484000,0.009330000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.771686000,0.002202000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
