frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,udp.length
1774113099.302265000,0.000358000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113099.329711000,0.012955000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113099.330893000,0.001182000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113103.155100000,0.004610000,85,192.168.0.52,3.248.160.245,6,255,71,31,0x0018,10,52433,443,,,,2563,26,,
1774113103.181677000,0.026577000,85,3.248.160.245,192.168.0.52,6,115,71,31,0x0018,10,443,52433,,,,64032,26,,
1774113103.432037000,0.004225000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2532,,,
1774113110.250890000,0.000467000,667,192.168.0.200,54.75.203.10,6,255,653,613,0x0018,19,52536,443,,,,2023,608,,
1774113110.278601000,0.027711000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113110.280101000,0.001500000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113110.282395000,0.002294000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,1885,,,
1774113120.236621000,0.100641000,315,192.168.0.200,54.75.203.10,6,255,301,261,0x0018,19,52536,443,,,,1885,256,,
1774113120.265518000,0.028897000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113120.445533000,0.079127000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,1816,,,
1774113142.588429000,0.000001000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
1774113142.876143000,0.056498000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,,,,,36
