windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
0,1774113109.6666484,1774113110.6666484,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33744.5,1885.0,0,4,0,0,3,0,0,0,0.007993,0.013166597257201018,0.000467,0.027711,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingAroundHouse
1,1774113160.316502,1774113161.316502,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23052.333333333332,2546.0,0,3,0,0,2,0,0,0,0.014265,0.012818366393577614,0.001606,0.027237,0,0,1,2,0,0,0,0,0,0,0,170.5,,0,0,bulbOff
2,1774113164.7314048,1774113165.7314048,5,5,0,1.0,0.0,206.6,259.29192042946494,60,667,123.0,2,1,1033.0,2,2,199.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,1,27496.8,1678.0,0,5,0,0,3,0,0,0,0.026833199999999995,0.043198768347025816,0.001524,0.101905,0,0,0,0,0,0,2,3,0,0,0,245.33333333333334,,0,0,movingAroundHouse
3,1774113168.3389468,1774113169.3389468,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,22551.666666666668,1757.0,0,3,0,0,2,0,0,0,0.025564666666666666,0.026863845523925522,0.00222,0.054927,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
4,1774113175.478852,1774113176.478852,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23030.333333333332,2513.0,0,3,0,0,2,0,0,0,0.09110033333333334,0.09478074831068455,0.001339,0.190208,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulbOn
5,1774113183.4699883,1774113184.4699883,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22928.333333333332,1757.0,0,3,0,0,2,0,0,0,0.03958266666666666,0.04462337482007981,0.003719,0.089555,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugOn
6,1774113188.374305,1774113189.374305,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23021.0,2499.0,0,3,0,0,2,0,0,0,0.03114866666666666,0.03259432567692317,0.000294,0.065241,1,2,0,0,0,0,0,0,0,0,0,169.5,,0,0,bulbChange
7,1774113224.5938454,1774113225.5938454,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23284.333333333332,2856.0,0,3,0,0,2,0,0,0,0.05362033333333333,0.052750399641456114,0.022544,0.114527,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
8,1774113226.7286105,1774113227.7286105,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,22987.666666666668,2449.0,0,3,0,0,2,0,0,0,0.03205233333333333,0.033421253153245664,0.001512,0.067754,0,0,1,2,0,0,0,0,0,0,0,170.5,,0,0,bulbOff
9,1774113231.719006,1774113232.719006,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23262.333333333332,2823.0,0,3,0,0,2,0,0,0,0.04396933333333333,0.02190024770027347,0.026216,0.068442,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugOn
10,1774113249.951179,1774113250.951179,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,22965.666666666668,2416.0,0,3,0,0,2,0,0,0,0.009723,0.007983285288651535,0.000911,0.016473,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulbOn
11,1774113260.6998754,1774113261.6998754,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,34158.5,2713.0,0,4,0,0,3,0,0,0,0.04223874999999999,0.06550962781848685,0.0018,0.13909,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingAroundHouse
12,1774113278.6432915,1774113279.6432915,6,6,0,1.0,0.0,172.66666666666666,154.10213063636294,60,371,87.0,4,0,1036.0,2,2,208.33333333333334,72.29568912920512,156.66666666666666,155.87772986115323,2,2,116.66666666666667,155.87772986115323,4,0.6666666666666666,1,22932.666666666668,2350.0,0,6,0,0,4,0,0,0,0.014702833333333333,0.012428375491860015,0.000484,0.032025,0,0,2,4,0,0,0,0,0,0,0,170.0,,0,0,bulbChange
13,1774113301.849529,1774113302.849529,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23240.333333333332,2790.0,0,3,0,0,2,0,0,0,0.053322666666666664,0.05842060818181658,0.018819,0.120775,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
14,1774113315.856961,1774113316.856961,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,34020.5,2437.0,0,4,0,0,3,0,0,0,0.0193295,0.021593244460556025,0.001476,0.04596,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingAroundHouse
