windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
0,1773241239.456046,1773241244.456046,15,193.93333333333334,304.00386902299846,4,4,3,3,15,0,idle
1,1773241244.456046,1773241249.456046,109,214.57798165137615,384.5712449906602,2,2,5,5,109,0,idle
2,1773241249.456046,1773241254.456046,134,201.17910447761193,313.8224403566012,3,4,7,6,134,0,idle
3,1773241254.456046,1773241259.456046,221,262.7918552036199,344.1571418654524,5,5,7,7,221,0,idle
4,1773241259.456046,1773241264.456046,181,296.38121546961327,377.1778588421338,6,6,8,8,181,0,idle
5,1773241264.456046,1773241269.456046,156,295.1923076923077,362.1742071538825,5,5,7,7,156,0,idle
6,1773241269.456046,1773241274.456046,221,306.95022624434387,381.08034497923666,6,6,8,8,221,0,idle
7,1773241274.456046,1773241279.456046,251,311.804780876494,363.60520037129805,5,6,8,7,251,0,idle
8,1773241279.456046,1773241284.456046,230,287.74347826086955,364.27242711761,5,6,7,7,222,8,idle
9,1773241284.456046,1773241289.456046,205,321.06341463414634,386.9189646095906,5,5,7,7,205,0,idle
10,1773241289.456046,1773241294.456046,220,287.23636363636365,350.8005697936341,5,5,7,7,220,0,idle
11,1773241294.456046,1773241299.456046,213,300.60093896713613,359.25652447307436,6,6,8,7,213,0,idle
12,1773241299.456046,1773241304.456046,204,295.1127450980392,369.82091530011184,5,5,7,7,204,0,idle
13,1773241304.456046,1773241309.456046,117,313.7435897435897,378.1694145496113,5,5,6,7,117,0,idle
14,1773241309.456046,1773241314.456046,118,276.1949152542373,355.4125148337072,5,5,7,7,118,0,idle
15,1773241314.456046,1773241319.456046,243,304.77366255144034,374.7719336859139,5,5,7,7,243,0,idle
16,1773241319.456046,1773241324.456046,230,319.09565217391304,382.86760966583756,5,5,7,7,230,0,idle
17,1773241324.456046,1773241329.456046,211,289.6919431279621,347.3960205950175,5,5,7,7,211,0,bulbchange
18,1773241329.456046,1773241334.456046,104,272.08653846153845,367.44373086366323,6,6,8,9,104,0,bulbchange
19,1773241334.456046,1773241339.456046,159,290.17610062893084,359.06165569406306,6,6,9,9,159,0,bulboff
