frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770659158.405029000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.405266000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.405459000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.405626000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,1711,45737,443,,
1770659158.442539000,51.49.17.250,192.168.0.35,246,0x0010,3629,6,66,443,45737,,
1770659158.447591000,51.49.17.250,192.168.0.35,246,0x0010,3621,6,66,443,45737,,
1770659158.447592000,51.49.17.250,192.168.0.35,246,0x0010,3626,6,66,443,45737,,
1770659158.448071000,51.49.17.250,192.168.0.35,246,0x0018,3638,6,135,443,45737,,
1770659158.448884000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.449488000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.449832000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.450025000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.450216000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.486172000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659158.486497000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659158.487563000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.487839000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.488030000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.488375000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.488567000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.488758000,192.168.0.35,51.49.17.250,64,0x0010,2608,6,1514,45737,443,,
1770659158.527756000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659158.528304000,51.49.17.250,192.168.0.35,246,0x0010,3611,6,66,443,45737,,
1770659158.530503000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,909,45737,443,,
1770659158.562336000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,359,45737,443,,
1770659158.574818000,192.168.0.35,192.168.0.187,64,0x0018,2043,6,658,44622,55443,,
1770659158.584052000,192.168.0.187,192.168.0.35,64,0x0018,2623,6,215,55443,44622,,
1770659158.584986000,192.168.0.35,192.168.0.187,64,0x0010,2043,6,66,44622,55443,,
1770659158.594491000,51.49.17.250,192.168.0.35,246,0x0010,3628,6,66,443,45737,,
1770659158.600834000,51.49.17.250,192.168.0.35,246,0x0018,3638,6,231,443,45737,,
